#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: 20USEM2000002
Date: 2022-08-03T19:57:29.040762Z
Institute: SFU
Operator: old
Instrument Type: Smartscope Flash 302
Run Number: 6
Measurement program version: v1
#---Positions
#Location	X[mm]	Y[mm]
H_R2H0_P1	4.2028	23.2193
H_R2H0_P2	124.2168	25.8684
PB_P1	81.9135	10.4849
PB_P2	122.2822	1.1439
#---Glue heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
ABC_R2H0_7_A	2	53.5620	22.9478	0.3870
ABC_R2H0_7_B	2	53.5790	20.3520	0.3986
ABC_R2H0_7_C	2	44.7542	20.6158	0.3939
ABC_R2H0_7_D	2	44.9279	23.1539	0.3890
ABC_R2H0_8	2	39.0753	22.0912	0.4001
ABC_R2H0_8_A	2	43.4549	23.1923	0.3997
ABC_R2H0_8_B	2	43.4263	20.6174	0.4087
ABC_R2H0_8_C	2	34.6089	21.0134	0.4018
ABC_R2H0_8_D	2	34.8111	23.5419	0.3901
ABC_R2H0_9	2	28.9505	22.5823	0.4000
ABC_R2H0_9_A	2	33.3502	23.6123	0.3923
ABC_R2H0_9_B	2	33.2702	21.0480	0.4019
ABC_R2H0_9_C	2	24.4667	21.5695	0.4114
ABC_R2H0_9_D	2	24.7149	24.0992	0.3941
HCC_R2H0_2	2	22.6079	7.0023	0.4577
HCC_R2H0_2_A	2	25.3935	9.4131	0.4383
HCC_R2H0_2_B	2	25.6931	4.7953	0.4659
HCC_R2H0_2_C	2	19.7238	4.6615	0.4801
HCC_R2H0_2_D	2	19.6213	9.1394	0.4466
HCC_R2H0_3	2	12.2236	11.6047	0.4388
HCC_R2H0_3_A	2	15.0214	14.0054	0.4206
HCC_R2H0_3_B	2	15.3088	9.4035	0.4516
HCC_R2H0_3_C	2	9.3260	9.2673	0.4540
HCC_R2H0_3_D	2	9.2382	13.7426	0.4290
H_R2H0_0	2	2.8908	10.6181	0.4401
H_R2H0_0_A	2	2.6115	8.2519	0.4586
H_R2H0_0_B	2	2.8503	9.7520	0.4407
H_R2H0_0_C	2	2.9272	10.9899	0.4366
H_R2H0_0_D	2	3.1740	13.4784	0.4243
H_R2H0_1	2	87.5131	12.7985	0.4798
H_R2H0_1_A	2	83.8969	12.6348	0.4847
H_R2H0_1_B	2	87.1309	12.7862	0.4840
H_R2H0_1_C	2	87.9070	12.8137	0.4804
H_R2H0_1_D	2	91.1177	12.9593	0.4702
H_R2H0_2	2	117.7967	16.3669	0.4316
H_R2H0_2_A	2	115.0084	15.9718	0.4409
H_R2H0_2_B	2	115.6141	16.7293	0.4256
H_R2H0_2_C	2	119.9790	16.0011	0.4376
H_R2H0_2_D	2	120.5851	16.7655	0.4225
PB_1	2	123.4340	6.6473	0.4558
PB_1_A	2	123.5916	1.4241	0.5632
PB_1_B	2	123.4595	5.3635	0.4905
PB_1_C	2	123.2581	7.0934	0.4611
PB_1_D	2	123.4267	12.7082	0.3083
PB_2	2	109.6625	11.8169	0.3144
PB_3	2	87.0998	10.4203	0.5194
PB_3_A	2	83.2082	10.1581	0.5264
PB_3_B	2	86.7193	10.4412	0.5354
PB_3_C	2	87.6738	10.4787	0.5307
PB_3_D	2	90.7978	10.6034	0.4849
PB_4	2	85.8684	1.3739	0.6162
PB_4_A	2	86.9701	3.9447	0.5914
PB_4_B	2	87.4048	-1.0246	0.6154
PB_4_C	2	84.6592	-1.2022	0.6337
PB_4_D	2	84.4397	3.7776	0.6242
PB_5	2	60.2871	2.8758	0.5588
#---Other heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
C1	4	118.1015	5.7768	2.9534
C2	4	117.8730	9.2490	2.8845
C3	4	103.9958	10.0052	2.9366
C4	4	104.4830	1.4781	3.0461
Shield_A	4	63.1611	-1.4312	5.7310
Shield_B	4	68.5341	-0.9655	5.6822
Shield_C	4	76.5563	-0.8461	5.7678
Shield_D	4	63.0827	5.5328	5.6384
Shield_E	4	72.0942	5.7133	5.4760
Shield_F	4	76.5919	5.2700	5.5926
